Date,Department_Agency_Name,Total_No_of_Employees,No_of_Employees_with_Debt,Percentage_Employees_with_Debt,Total_Amount_Due
2/17/12,Animal Care & Control,50,2,6.30%,300
2/17/12,Aviation,1452,66,4.50%,"28,633.00"
2/17/12,Board of Elections,111,1,0.90%,146
2/17/12,Board of Ethics,7,0,0.00%,0
2/17/12,Budget & Management,50,0,0.00%,0
2/17/12,Buildings,263,1,0.40%,220
2/17/12,Business Affairs & Consumer Protection,180,3,1.70%,980
2/17/12,Chicago Board of Education,50469,2727,5.40%,"10,67,306.00"
2/17/12,Chicago Housing Authority,494,14,2.80%,"5,477.00"
2/17/12,Chicago Park District,3052,208,6.80%,"1,00,732.00"
2/17/12,Chicago Public Library,835,9,1.10%,"3,832.00"
2/17/12,Chicago Transit Authority,10136,1661,16.40%,"5,35,366.00"
2/17/12,City Clerk,99,2,2.00%,671
